,state,ref_year,enrolled,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_expenditure_per_student,instruction_expenditure_per_student,support_expenditure_per_student,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student
1028,District of Columbia,2012,44618.0,1331006,137742,0,1193264,1189542,594156,266716,44780.0,283890,26.660585413958493,13.316509032229146,5.977766820565691,27.41569951787267,11.51573080277156,8.138596272802959
1079,District of Columbia,2013,44179.0,1300036,129874,0,1170162,1308438,559940,332997,39825.0,375676,29.616740985536115,12.674347540686751,7.537449919645081,28.729249015679503,12.20679134700749,8.036825274384928
1130,District of Columbia,2014,44942.0,1342220,134959,0,1207261,1313289,503349,375966,34409.0,399565,29.221863735481286,11.199968848738374,8.365582306083397,28.615984518201568,12.240964013871084,7.7600899801029835
1181,District of Columbia,2015,46155.0,1382282,146366,0,1235916,1360942,557345,379854,41841.0,381902,29.48633950817896,12.075506445672191,8.229964250893728,28.46947848738635,12.312700335729442,7.54950701230087
1232,District of Columbia,2016,48336.0,1329719,154922,0,1174797,1322563,594396,369131,43753.0,315283,27.361862793776893,12.297169811320755,7.636771764316451,28.921701755743314,12.061748161604518,7.942442060234664
9,Florida,1992,,11506299,788420,5683949,5033930,11305642,5166374,3410440,,1667826,,,,6.091526210600699,2.798339478612147,1.8726890101839746
60,Florida,1993,1980569.0,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220.0,1424334,5.768636689759357,2.6927292106460317,1.7959702489537097,6.170252121937962,2.8320431755910853,1.890685777640261
111,Florida,1994,2039884.0,12315950,890498,6158417,5267035,12469073,5715125,3849613,898855.0,1769738,6.112638267666201,2.8016911745962023,1.8871725058875897,6.235872691768899,2.865807565211212,1.9025174705205863
162,Florida,1995,2107514.0,13242710,938814,6519109,5784787,13473977,6113051,4077880,951023.0,2070572,6.39330367437654,2.900598050594207,1.934924275710624,6.29853254383007,2.908819499183702,1.9202510017642513
213,Florida,1996,2175352.0,13684457,942159,6671487,6070811,13936240,6380643,4230355,992115.0,2042385,6.4064298559497495,2.9331542665279,1.9446760800091203,6.387836313386785,2.959235499835334,1.9480326051799663
264,Florida,1997,2241298.0,14363709,992226,7022561,6348922,14564750,6725833,4370182,1040190.0,2111449,6.498354971092644,3.000865123691718,1.9498442420418882,6.596198956812742,3.0403471091841747,1.998739908416058
315,Florida,1998,2292161.0,15595671,1116607,7742607,6736457,15155383,7160434,4604765,1073030.0,1949539,6.611831804135923,3.1238791690461536,2.0089186579825764,6.8032205087732125,3.1343122971124457,2.053113294746049
366,Florida,1999,2333567.0,17093036,1266927,8719985,7106124,16156822,7611469,4934846,1131998.0,2092359,6.92365893072708,3.261731503745125,2.1147222256742575,6.978444843436618,3.221689907530593,2.096068559679256
417,Florida,2000,2377271.0,17558787,1398757,8804217,7355813,17180954,7751117,5113323,1151140.0,2792662,7.227175193741059,3.2605104760879176,2.1509213716063504,7.199708652980446,3.344575623249719,2.1526760490929133
468,Florida,2001,2431884.0,18467090,1563902,9120855,7782333,18389394,8412975,5514993,1197780.0,2868679,7.5617891313894905,3.4594474900941,2.2677862101975257,7.477710465170394,3.4894612372357607,2.222173497683323
519,Florida,2002,2500179.0,18541689,1762460,8542871,8236358,19051049,8781232,5589428,1245146.0,2999914,7.619874017020381,3.512241323521236,2.2356111302430746,7.821550143236087,3.651872989040894,2.3065478038551706
570,Florida,2003,2536699.0,19549835,1956803,8689141,8903891,20180142,9622598,5938231,1225274.0,2924134,7.955276522756543,3.7933542765617836,2.340928505904721,8.259387836214325,3.8407657947848817,2.406209693838069
621,Florida,2004,2592997.0,21623923,2174314,9593760,9855849,21896220,10411050,6317387,1298226.0,3365514,8.444367656422278,4.015064421594009,2.436326382174758,8.832351304996388,4.099764301643006,2.5365427782018912
672,Florida,2005,2645280.0,23216404,2328513,9940813,10947078,23857012,11270907,6876508,1363005.0,3803764,9.018709550595778,4.2607614316820905,2.5995388011855076,9.43784050846692,4.382707167231321,2.6696679039813076
723,Florida,2006,2663973.0,25423686,2460004,10215772,12747910,26609155,12211602,7492039,1437303.0,4860930,9.988522781574739,4.583981143953036,2.8123554555545422,9.921461340863086,4.637122197326958,2.789657879697667
774,Florida,2007,2656176.0,28898362,2489027,11578932,14830403,29849892,13476109,8136539,1515095.0,5992654,11.237919475215497,5.0735000240947885,3.0632529621531104,10.267562279539039,4.849353450575258,2.893986175778079
825,Florida,2008,2645680.0,30001821,2480218,11830218,15691385,31219589,14392625,8465282,1558863.0,5980134,11.800213555683227,5.4400475492123,3.1996620906534425,10.523819413614616,5.049782958704613,2.983634932229721
876,Florida,2009,2623067.0,26494500,2694566,9047586,14752348,28867429,13884278,8067350,1546420.0,4533913,11.005219843793544,5.293146534190702,3.0755409602575914,10.597719574022546,5.169684558940396,3.0210523411267465
927,Florida,2010,2627390.0,26231141,4200103,8216582,13814456,27267009,13869921,8069310,1573867.0,2944085,10.377983093488215,5.278973049299876,3.0712265784676047,10.516454216354589,5.2521890675899545,3.025577816639209
978,Florida,2011,2636404.0,26453693,4710376,9069119,12674198,26991946,14284224,8077593,1637138.0,2217069,10.238167594951305,5.418070978499502,3.0638676773362503,10.31024808545314,5.294561603588069,3.0072943920017114
1029,Florida,2012,2658559.0,24139266,3068321,8702317,12368628,25352047,13558844,7607362,1622628.0,1837264,9.536010673451294,5.1000726333325686,2.8614606634646815,10.044777039593782,5.294855035461554,2.9764364346865704
1080,Florida,2013,2680074.0,24681548,3027018,9455562,12198968,25245400,13833236,7622221,1689414.0,1411455,9.419665277899043,5.16151270449995,2.8440337841417813,9.910217377833069,5.321266430199676,2.9633474216643934
1131,Florida,2014,2708022.0,26077462,3112027,10460928,12504507,26523658,14542370,7948773,1788820.0,1468023,9.794476558905355,5.370107776081583,2.93526898969063,9.83225642522388,5.32831532701631,2.9453675621971915
1182,Florida,2015,2743641.0,26971491,3118041,10661586,13191864,27277049,14931173,8186082,1816178.0,1681665,9.941916234667728,5.4421015723267,2.9836563894474533,9.751074191278395,5.310364196719671,2.9216675391693796
1233,Florida,2016,2776933.0,28125598,3147329,10963807,14014462,27945116,15212112,8286140,1841593.0,1983363,10.063302211468551,5.478026297357553,2.9839178691023514,9.80484007073517,5.362937087566447,2.9367192580955543
10,Georgia,1992,,5536901,398701,2798674,2339526,5535942,3043984,1559059,,526644,,,,5.426663228721755,2.894068448332252,1.5234128468819286
61,Georgia,1993,893557.0,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423.0,439808,5.201653615829768,2.8411304483093973,1.480957566221293,5.582864224579316,2.955777546392226,1.5478934856075515
112,Georgia,1994,1235304.0,6824191,449430,3473578,2901183,6597359,3509251,1862815,405376.0,723316,5.34067646506447,2.8407995116991445,1.507981031389844,5.726125455642784,3.03351057784224,1.5760939490052424
163,Georgia,1995,1270948.0,7052825,458452,3652134,2942239,7292267,3813194,2009750,442434.0,898969,5.737659605271026,3.0002753849882136,1.5812999430346482,5.860800728968539,3.11208234912533,1.6135562483661545
214,Georgia,1996,1311126.0,7764687,516518,4086584,3161585,7934236,4118122,2125775,509934.0,1042930,6.051467212151998,3.1409048405721496,1.6213354017844204,6.05388621592337,3.210722410622887,1.6593917520114911
265,Georgia,1997,1346761.0,8248199,534963,4471781,3241455,8483477,4504165,2274539,485635.0,1056516,6.299170379896656,3.3444427036422946,1.6888958025960064,6.403550728892091,3.3772318742470873,1.7421401643052152
316,Georgia,1998,1375980.0,9207163,594406,4737025,3875732,8990897,4822729,2477958,488371.0,1023011,6.53417709559732,3.5049412055407783,1.8008677451707147,6.81255115793691,3.5978820949797923,1.8362968559065647
367,Georgia,1999,1401291.0,10380164,672868,5148120,4559176,10106670,5328497,2710664,516763.0,1354872,7.21239913765235,3.8025627796082326,1.9344047738835117,7.225623314383124,3.839010557696576,1.9349997224035198
418,Georgia,2000,1422941.0,11197766,710741,5406709,5080316,10884510,5701293,2931538,546396.0,1520834,7.649305206610816,4.006696693678796,2.060196452277361,7.652038863913994,4.092545134720001,2.0487149418287722
469,Georgia,2001,1444937.0,12271962,758799,5945868,5567295,11853800,6336556,3131291,566956.0,1620496,8.203679468378207,4.385351056828084,2.1670778725992896,8.045178060124043,4.317847787533641,2.1523039266721704
520,Georgia,2002,1470634.0,13042229,904826,6361710,5775693,12690343,6894589,3341604,616115.0,1659378,8.629164700394524,4.6881746240057005,2.2722200085133353,8.445081259223828,4.542677551602011,2.258833561751375
571,Georgia,2003,1495819.0,13524807,1051973,6551699,5921135,13516783,7352918,3615906,649880.0,1705482,9.036376058868084,4.9156468797361175,2.4173419377611864,8.831007040713809,4.766978480174956,2.378800963815494
622,Georgia,2004,1522424.0,14136215,1201843,6333305,6601067,13779680,7492703,3675160,659431.0,1767711,9.051144753367,4.921561273337782,2.4140186964997925,9.263798675967964,5.028632212107975,2.494379294333501
673,Georgia,2005,1552758.0,14724731,1375318,6449103,6900310,14492666,7886069,3954215,658022.0,1794894,9.333499489295821,5.078749554019364,2.5465751907251484,9.755789139335638,5.295177052310335,2.6287660105158226
724,Georgia,2006,1597682.0,16165924,1455212,7136011,7574701,15839227,8583817,4432252,708588.0,1930006,9.913879608082208,5.372669279618848,2.7741765883323466,10.170650662182728,5.496985572289959,2.7488758293406357
775,Georgia,2007,1628409.0,17755989,1475463,7907177,8373349,17389530,9507096,4672304,757339.0,2271958,10.678846653389904,5.838272817209927,2.869244765903406,10.413955157788445,5.641357138750694,2.8388234350443513
826,Georgia,2008,1646010.0,18683630,1449557,8432720,8801353,19172087,10289480,5115445,813562.0,2703375,11.647612711951933,6.251164938244604,3.1077848858755415,10.594702156786425,5.767561522555601,2.9231339039299775
877,Georgia,2009,1649598.0,17972839,1644548,7739086,8589205,19025136,10063924,5135180,837062.0,2712073,11.533195360324152,6.100834263863074,3.1129887402870273,10.75056727034809,5.86460737852894,2.991005052235723
928,Georgia,2010,1660643.0,17839851,2598486,6739406,8501959,17834488,9841382,5059938,822517.0,1814143,10.739507528108089,5.926247844961259,3.046975177687197,10.804582682863668,5.908376383051456,3.015478533977652
979,Georgia,2011,1666039.0,18030043,2267161,7492489,8270393,17187481,9671343,5005101,874605.0,1368395,10.316373746352877,5.804991959972125,3.004191978699178,10.764480764192545,5.884443514654393,3.0425861794874045
1030,Georgia,2012,1669156.0,17559894,1862297,7455147,8242450,17400209,9611118,5043644,917885.0,1566020,10.424555284227479,5.758070545832744,3.0216732288653665,10.639136056876724,5.829822365094238,3.041380619744307
1081,Georgia,2013,1682620.0,17459504,1805878,7580785,8072841,17317504,9555687,4956142,932291.0,1632844,10.291987495691243,5.679052311276462,2.945490960525847,10.576237282444211,5.829679403762286,3.056093671875614
1132,Georgia,2014,1699185.0,17821620,1804212,7837335,8180073,17668352,9635641,5197804,967343.0,1642099,10.398133222692055,5.670742738430483,3.058998284471673,10.549025574833566,5.813584663562458,3.0576134209070163
1183,Georgia,2015,1717805.0,18584666,1831221,8310872,8442573,18501103,10081483,5324072,996277.0,1879063,10.770199760741178,5.868816891323521,3.099345967673863,10.595555940529703,5.815303204280524,3.068297709348584
1234,Georgia,2016,1727085.0,19403453,1807371,8771192,8824890,19158388,10534931,5554271,1029127.0,1834767,11.09290393929656,6.099833534539412,3.215980105206171,10.63830610460526,5.829611368892469,3.079953829469389
11,Hawaii,1992,,996809,71273,903443,22093,1040121,536115,291376,,126212,,,,6.203313560813661,3.3771314940633546,1.7610771689513813
62,Hawaii,1993,177448.0,1062475,76183,962375,23917,1063090,580597,304362,95700.0,82431,5.990994544880754,3.271927550606375,1.7152179793516975,6.298027222089637,3.4295491186662095,1.7592418492635615
113,Hawaii,1994,181212.0,1133949,77993,1025813,30143,1146267,615270,322736,93482.0,114779,6.325557910072181,3.395304946692272,1.7809858066794693,6.361475499168302,3.4739500280414175,1.7554785086936213
164,Hawaii,1995,183869.0,1173579,82547,1062296,28736,1157159,636952,328579,96922.0,94706,6.293388227488048,3.464161984891417,1.7870277208229772,6.412748538650931,3.5199116183778627,1.7512448086682504
215,Hawaii,1996,187104.0,1199019,91391,1079097,28531,1231550,671105,328131,103048.0,129266,6.582168205917564,3.5868019924747734,1.7537358902001026,6.527911282935862,3.5625409131300882,1.7669853386094427
266,Hawaii,1997,187653.0,1213792,95795,1088410,29587,1241375,685225,326596,105850.0,123704,6.61526860748296,3.651553665542251,1.7404251464138596,6.720087232489645,3.6832258721962816,1.8086815357145554
317,Hawaii,1998,189887.0,1279125,107149,1141001,30975,1266378,712023,328519,104350.0,121486,6.66911373606408,3.7497195700600883,1.7300763085413957,6.872726590034738,3.7657922640598818,1.8736634474095102
368,Hawaii,1999,188069.0,1328572,130547,1166940,31085,1357649,718107,350077,108410.0,181055,7.218887748645444,3.8183166816434393,1.8614285182565973,7.085772486582397,3.901899066960148,1.9727445764141276
419,Hawaii,2000,185860.0,1404895,127042,1247256,30597,1363511,765134,373038,109367.0,115972,7.336226191757237,4.11672226406973,2.007091359087485,7.390713181369695,4.079948680246218,2.127812201404437
470,Hawaii,2001,184360.0,1682332,140953,1511318,30061,1363164,732512,412203,105505.0,112944,7.394033412887828,3.97326968973747,2.2358591885441528,7.795274851820538,4.292503529349828,2.303111948842975
521,Hawaii,2002,184546.0,1889600,170152,1684226,35222,1436637,815123,457784,121615.0,42115,7.784709503321665,4.416909605193285,2.480595623855299,8.219610437827736,4.542301446801384,2.4920341324433513
572,Hawaii,2003,183829.0,2078877,170377,1873318,35182,1602392,888473,521929,128941.0,63049,8.716753069428654,4.833149285477265,2.83920926513227,8.704265262038652,4.838688314689752,2.7291281362764885
623,Hawaii,2004,183609.0,2138137,236470,1850737,50930,1734591,943647,544864,129740.0,116340,9.447200300638858,5.139437609267519,2.9675233784836257,9.394918392564792,5.181566656459235,3.021436698515905
674,Hawaii,2005,183185.0,2274166,236973,1986615,50578,1765805,1007207,559178,137949.0,61471,9.639462838114474,5.498304992220978,3.052531593744029,10.11933575450104,5.631869331740327,3.2919991708182885
725,Hawaii,2006,182818.0,2705532,225393,2431735,48404,1939968,1077351,643718,143911.0,74988,10.611471518121848,5.893024756862016,3.5210865450885582,10.852801621199257,6.117059635907428,3.5093729345917217
776,Hawaii,2007,180728.0,2985593,256696,2681049,47848,2199604,1177781,732536,151243.0,138044,12.17079810544022,6.516870656456111,4.053251294763402,11.363938671887897,6.474402934596584,3.657004915688675
827,Hawaii,2008,179897.0,2541703,310732,2154313,76658,2242408,1281836,742938,123179.0,94455,12.464954946441575,7.125388416705115,4.129796494660834,11.811261490488942,6.737276006364355,3.8584942755959633
878,Hawaii,2009,179478.0,2689758,392837,2205032,91889,2318671,1402305,718309,129473.0,68584,12.918970570209162,7.813241734362986,4.002211970269337,12.267533395469352,6.939290396454972,4.059281459560055
929,Hawaii,2010,180196.0,2564856,382400,2093300,89156,2215458,1321657,697833,123051.0,72917,12.29471242424915,7.334552376301361,3.872633132810939,12.565480943107838,7.090124486952432,4.1521332285959
980,Hawaii,2011,179601.0,2499513,347363,2088870,63280,2259104,1253534,786284,133810.0,85476,12.578460030846154,6.9795491116419175,4.377948897834645,12.74160806279672,7.219240458436507,4.1838117106404615
1031,Hawaii,2012,182706.0,2535038,318728,2161254,55056,2344733,1262938,814511,143188.0,124096,12.833366172977351,6.912405722855298,4.458041881492671,12.935543979048932,7.2804583589788905,4.248605298516105
1082,Hawaii,2013,184760.0,2331770,310778,1962923,58069,2345917,1283872,770643,144746.0,146656,12.697104351591253,6.94886339034423,4.171048928339467,13.235321407058949,7.316623458141431,4.384500266172855
1133,Hawaii,2014,186825.0,2696766,286988,2354601,55177,2504144,1386369,798677,145898.0,173200,13.403687943262412,7.420682456844641,4.275000669075338,13.392089570860584,7.313635305114777,4.469811455066508
1184,Hawaii,2015,182384.0,2703683,259390,2381547,62746,2521004,1377713,835930,145560.0,161801,13.822506360207036,7.553913720501798,4.583351609790332,13.55481547886347,7.38045254380935,4.48818396651288
1235,Hawaii,2016,181995.0,3030519,261131,2710361,59027,2733094,1468044,901508,146892.0,216650,15.017412566279294,8.066397428500784,4.95347674386659,13.735177805334999,7.497464249047862,4.495719487767932
12,Idaho,1992,,859329,69138,531912,258279,886161,473505,246320,,111353,,,,4.203331601965847,2.3125196272654054,1.178043483733209
63,Idaho,1993,231632.0,890835,72747,547454,270634,899819,499914,260805,41238.0,81359,3.8846920978103197,2.1582251157007666,1.1259454652206948,4.384746528473485,2.3950077042168507,1.2201173917153192
114,Idaho,1994,236774.0,949999,77626,576106,296267,974781,538783,273654,44562.0,99924,4.11692584489851,2.2755158927922827,1.1557603453081842,4.562797793620208,2.4705892044903726,1.2639969681893413
165,Idaho,1995,240448.0,1083215,80861,665768,336586,1108075,602038,301143,46107.0,134550,4.608376863188714,2.5038178733031673,1.252424640670748,4.717976965483783,2.545976704272112,1.3107499056080176
216,Idaho,1996,243097.0,1134052,80486,718218,335348,1198223,642377,327291,47750.0,157468,4.928991307996396,2.6424719350711854,1.3463391156616495,4.867035090944746,2.6279550608633,1.3619204390647186
267,Idaho,1997,245252.0,1200186,80754,747250,372182,1293705,680063,353044,51999.0,178703,5.275002854207101,2.77291520558446,1.4395152740854305,5.1672534875155876,2.784880909891872,1.4487790320977283
318,Idaho,1998,244403.0,1310960,90011,822017,398932,1342719,714369,377484,53790.0,165324,5.4938728248016595,2.922914203180812,1.544514592701399,5.4783898546089365,2.9598025256598564,1.5541382698585693
369,Idaho,1999,244623.0,1405250,96761,867752,440737,1409367,763181,408262,57605.0,148467,5.761383843710526,3.1198252004104274,1.6689436398049242,5.791744481811118,3.1251729571041764,1.6662778146558195
420,Idaho,2000,245226.0,1452222,109898,888384,453940,1467977,798629,425211,59735.0,153472,5.986220873806203,3.256706058900769,1.7339556164517629,6.080323052862177,3.2790815093650543,1.7672769119631653
471,Idaho,2001,243926.0,1571348,123520,964414,483414,1535485,853733,461819,64896.0,124442,6.294880414551955,3.499967203168174,1.8932750096340694,6.31580894559913,3.417516835657911,1.8493044877699656
522,Idaho,2002,244937.0,1625444,138930,988386,498128,1666027,896815,499035,67785.0,167918,6.801859253603988,3.661410893413408,2.0374014542515013,6.555200553230981,3.55707417659753,1.927886554062551
573,Idaho,2003,248515.0,1685984,162530,994022,529432,1726941,924434,510284,69672.0,185850,6.949041305353801,3.7198318008973303,2.0533327968130695,6.784972897739579,3.679898376812982,1.9976319539730867
624,Idaho,2004,252037.0,1733838,177528,1007906,548404,1744954,943113,507529,72821.0,183197,6.923404103365776,3.7419624896344583,2.013708304733035,6.9949569049471005,3.795533687225347,2.070585551949912
675,Idaho,2005,253782.0,1796035,192039,1023550,580446,1819519,989703,531569,77321.0,181622,7.169614078224618,3.899815589758139,2.0945890567494936,7.1711460615705604,3.8997068751749713,2.1372729961109562
726,Idaho,2006,258314.0,1875346,201040,1046128,628178,1903720,1027985,557225,82623.0,189807,7.369790255270717,3.979594601918595,2.157161439178674,7.30756813188382,3.993836180105982,2.1907418568524752
777,Idaho,2007,262935.0,2011951,202977,1338182,470792,1960472,1069134,590192,86738.0,163583,7.456108924258848,4.0661532317873235,2.244630802289539,7.439397653890681,4.08394886031896,2.2397517824446136
828,Idaho,2008,265844.0,2151476,205035,1409151,537290,2001328,1124302,627415,94898.0,93431,7.528204510916177,4.229179518815546,2.360087118761379,7.5045482516529125,4.143231362756746,2.2820092585423315
879,Idaho,2009,267951.0,2182273,218777,1459554,503942,2078446,1157633,646213,100576.0,111190,7.756813745796806,4.32031602793048,2.4116834794421367,7.501041768463564,4.1591922083723345,2.308367495072966
930,Idaho,2010,266613.0,2177999,444112,1231537,502350,2098737,1159932,638912,100157.0,135181,7.87184795940183,4.350620562388181,2.3964022759580366,7.481391975211038,4.1752971480968855,2.3318257895468975
981,Idaho,2011,265713.0,2089982,292602,1320153,477227,1960818,1104553,613667,98963.0,83524,7.379458287701392,4.1569400066989575,2.3095106374170626,7.43790078922322,4.1571976602405405,2.341286510296036
1032,Idaho,2012,267556.0,1981482,266087,1238989,476406,1911706,1073312,609786,102831.0,69239,7.145068695899176,4.011541509067261,2.2790967124639328,7.4200812426863125,4.14232718347035,2.349641201013156
1083,Idaho,2013,272070.0,2015534,237912,1278155,499467,1967676,1113400,631575,107264.0,62882,7.232241702503032,4.092329179990443,2.321369500496196,7.403982792150872,4.133947756449557,2.3633324628430583
1134,Idaho,2014,281452.0,2084970,232593,1319582,532795,2012852,1108768,650395,109175.0,91323,7.151670622344129,3.9394568167929167,2.310855847533505,7.326005264275714,4.097835622126453,2.3578208273238954
1185,Idaho,2015,274131.0,2167967,232449,1381205,554313,2029520,1130814,663005,108684.0,75680,7.403467685157826,4.1250861814242095,2.4185699537812213,7.315314659590577,4.086014745211952,2.367482865305262
1236,Idaho,2016,274849.0,2266490,240322,1454830,571338,2100980,1171313,689190,111297.0,74932,7.644124592048725,4.261660038784933,2.5075223122514543,7.357876150513428,4.104633054248126,2.389579403515594
13,Illinois,1992,,9748650,597077,3073178,6078395,9850560,5010400,3148849,,727858,,,,5.914946907804147,3.068597290817913,1.8821872954228933
64,Illinois,1993,1856841.0,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411.0,852085,5.786545536209077,2.9731587141817744,1.8056053264657554,6.049624935368765,3.120105271863623,1.9260197865694817
115,Illinois,1994,1875956.0,11309803,628532,3697747,6983524,10743708,5727974,3468903,446271.0,508619,5.7270575642499075,3.053362658825687,1.8491387857710948,6.265338744500844,3.20081351127673,1.9750833668357486
166,Illinois,1995,1897161.0,12236673,686758,4100518,7449397,11821661,6031588,3778799,457236.0,1023865,6.231237622953455,3.179270499446278,1.9918177740318297,6.506100135099776,3.29189366291866,2.0298721811698637
217,Illinois,1996,1924970.0,12732129,728400,4191483,7812246,12423100,6303563,3960659,474624.0,1112689,6.453659018062619,3.274629215000753,2.057517260009247,6.783087194735826,3.411434273048998,2.0868623944739513
268,Illinois,1997,1952892.0,13929105,847818,4532935,8548352,13920593,6881301,4240388,527869.0,1598074,7.128193981029161,3.5236464689291576,2.1713376879008157,7.244906759172485,3.60966666706388,2.202859996235954
319,Illinois,1998,1972406.0,14688777,962367,4807076,8919334,15207067,7391186,4544061,637882.0,1917001,7.709907088094439,3.7472944211283075,2.3038162528404396,7.790791127328163,3.8306893891782567,2.3409549397117493
370,Illinois,1999,1987427.0,16208970,1089732,5665008,9454230,16783840,8205446,4827070,686866.0,2243726,8.445009552552118,4.128677933831029,2.4288036742984773,8.335090313058263,4.067443100866102,2.4767222191296154
421,Illinois,2000,2003839.0,17595047,1283052,6344130,9967865,18073190,8738312,5245226,716792.0,2467748,9.019282487265693,4.360785472285947,2.6175885387997737,8.886834969148422,4.320615919046149,2.6216359408575975
472,Illinois,2001,2025249.0,18534372,1411096,6637462,10485814,19337580,9317202,5702703,664402.0,2637635,9.548248141339657,4.600521713626325,2.8158033901016615,9.35836016216302,4.561348919396904,2.765542910026803
523,Illinois,2002,2047836.0,19084554,1438287,6808150,10838117,20563001,9904454,6025120,683101.0,2897117,10.041331923064151,4.836546481261195,2.942188729956891,9.775899808487669,4.788680826695283,2.9121096921989946
574,Illinois,2003,2062664.0,19627346,1618724,6792637,11215985,21278177,10409933,6336325,706758.0,2727980,10.315871610693744,5.0468389422610755,3.0719133121051225,10.110175220974611,4.970333815807254,3.058403906385215
625,Illinois,2004,2079027.0,21082441,1752663,7265072,12064706,21681903,10829189,6608575,737667.0,2342761,10.428870332131329,5.20877747138445,3.1786864720852592,10.41285891847424,5.1423455352377365,3.195057841077916
676,Illinois,2005,2072437.0,21611180,1835598,7152163,12623419,22035569,11063949,6900767,755227.0,2137191,10.632684612366987,5.33861777221696,3.3297837280457743,10.797644096823799,5.34780598247157,3.3482604459935166
727,Illinois,2006,2097585.0,22724326,1886721,7144629,13692976,22622323,11327481,7242674,818234.0,2021097,10.784937439960716,5.400248857614828,3.452863173602023,11.233225310964455,5.569094726581986,3.519334931656082
778,Illinois,2007,2101075.0,23897153,1862627,7566377,14468149,23401917,11692204,7509591,834000.0,2082140,11.138068369763097,5.564867508299323,3.5741660816486798,11.703887815839673,5.846716736097151,3.70316123109383
829,Illinois,2008,2099118.0,25431714,1996023,8357924,15077767,25696866,12676038,8161836,885452.0,2559210,12.241744389786568,6.038744844263162,3.888221624510866,12.180698991052594,6.111678804418246,3.888273030622616
880,Illinois,2009,2117291.0,26987426,3346509,7879160,15761757,27716187,13520105,8764971,932950.0,2884993,13.09040042204874,6.3855676900341045,4.139710129594845,12.666351447055218,6.376344568987532,4.05799427100529
931,Illinois,2010,2098401.0,28253620,3809939,8696107,15747574,28560306,14668228,9146295,961079.0,1944264,13.61050914482027,6.990193008867228,4.3586974081693635,13.162937692988063,6.659851537511969,4.221075254080761
982,Illinois,2011,2072114.0,29507584,2894897,10030682,16582005,28525858,14636402,9271610,922651.0,1884866,13.766548558621775,7.063511949632115,4.474469068786756,13.726524072525875,6.996530002914688,4.4046472288674225
1033,Illinois,2012,2071481.0,29900021,2430413,10142137,17327471,29067543,14896596,9358604,956171.0,2032447,14.032251804385364,7.191278124201959,4.517832410724501,14.239416451561997,7.342040649401591,4.5665485259816405
1084,Illinois,2013,2069823.0,30057886,2311235,10382540,17364111,29517831,15285224,9509657,986182.0,1942608,14.26104116149062,7.384797637285893,4.594430055130318,14.693467573557573,7.682363454260101,4.708622923825184
1135,Illinois,2014,2060632.0,31085621,2301827,11163462,17620332,31080869,16323537,10012961,975999.0,1999969,15.083173026527783,7.921616766118356,4.859169905155311,14.87396064501379,7.797725195158914,4.7669438431011555
1186,Illinois,2015,2047123.0,32096832,2262192,11858968,17975672,32410033,17313173,10279691,992075.0,2056951,15.831991043039427,8.457319369671485,5.021530704310391,15.095443062292194,7.944567844264273,4.825438797964035
1237,Illinois,2016,2030717.0,32908958,2331724,12053316,18523918,33037244,17804976,10426170,992684.0,2015647,16.26875827601778,8.767827324043676,5.134230914499657,15.361240876768901,8.132890274279852,4.902340394773919
14,Indiana,1992,,5060274,257044,2578149,2225081,5182754,2598925,1478639,,536404,,,,6.269478813466082,3.1202173092976815,1.7737764656773993
65,Indiana,1993,958052.0,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924.0,477709,5.916796791823408,2.9879223674706594,1.6898988781402262,6.404913186146125,3.184358767529745,1.8037993467105204
116,Indiana,1994,963071.0,6121754,286351,2754602,3080801,6061435,3003825,1743788,273493.0,551285,6.293860992595562,3.1190068021983843,1.8106536278218324,6.616491468119871,3.2872569280166197,1.8565734329853716
167,Indiana,1995,966622.0,6514934,292362,3335998,2886574,6377558,3145120,1760003,290661.0,643725,6.597778655979276,3.2537227582240007,1.8207768910701392,6.8071013496561426,3.372637172417885,1.9004993685974216
218,Indiana,1996,975455.0,6422662,306715,3298257,2817690,6644035,3293900,1847383,302283.0,616866,6.811216304186251,3.3767831422259356,1.8938679898098836,7.021171443362612,3.4738287974700275,1.9549557049427904
269,Indiana,1997,981546.0,7885141,305125,3783388,3796628,7325086,3630591,2029513,335709.0,667028,7.462804596014858,3.6988495699641177,2.0676697780847766,7.408601173022739,3.6465082784451788,2.0569965663851457
320,Indiana,1998,985690.0,7656749,343921,3770236,3542592,7649103,3745167,2089790,352606.0,766633,7.7601507573375,3.7995383944242103,2.1201290466576714,7.809826056604509,3.8321253049087654,2.167599893126271
371,Indiana,1999,986891.0,8167164,377681,4094272,3695211,8196714,4027481,2251783,370124.0,808948,8.30559200560143,4.080978547782886,2.2816937230150036,8.211031669152964,4.02617928124092,2.288264911800128
422,Indiana,2000,987214.0,8489991,426266,4300608,3763109,8518477,4143020,2373445,375026.0,841171,8.628804899444296,4.196678734296718,2.4041849082367146,8.635218913019532,4.227675109763118,2.424827612481394
